expiration_id,src_port,dst_port,protocol,ip_version,vlan_id,tunnel_id,bidirectional_first_seen_ms,bidirectional_last_seen_ms,bidirectional_duration_ms,bidirectional_packets,bidirectional_bytes,src2dst_first_seen_ms,src2dst_last_seen_ms,src2dst_duration_ms,src2dst_packets,src2dst_bytes,dst2src_first_seen_ms,dst2src_last_seen_ms,dst2src_duration_ms,dst2src_packets,dst2src_bytes,bidirectional_min_ps,bidirectional_mean_ps,bidirectional_stddev_ps,bidirectional_max_ps,src2dst_min_ps,src2dst_mean_ps,src2dst_stddev_ps,src2dst_max_ps,dst2src_min_ps,dst2src_mean_ps,dst2src_stddev_ps,dst2src_max_ps,bidirectional_min_piat_ms,bidirectional_mean_piat_ms,bidirectional_stddev_piat_ms,bidirectional_max_piat_ms,src2dst_min_piat_ms,src2dst_mean_piat_ms,src2dst_stddev_piat_ms,src2dst_max_piat_ms,dst2src_min_piat_ms,dst2src_mean_piat_ms,dst2src_stddev_piat_ms,dst2src_max_piat_ms,bidirectional_syn_packets,bidirectional_cwr_packets,bidirectional_ece_packets,bidirectional_urg_packets,bidirectional_ack_packets,bidirectional_psh_packets,bidirectional_rst_packets,bidirectional_fin_packets,src2dst_syn_packets,src2dst_cwr_packets,src2dst_ece_packets,src2dst_urg_packets,src2dst_ack_packets,src2dst_psh_packets,src2dst_rst_packets,src2dst_fin_packets,dst2src_syn_packets,dst2src_cwr_packets,dst2src_ece_packets,dst2src_urg_packets,dst2src_ack_packets,dst2src_psh_packets,dst2src_rst_packets,dst2src_fin_packets,splt_direction,splt_ps,splt_piat_ms,application_is_guessed,application_confidence,Label
0,8889,6525,17,4,0,0,1.68E+12,1.68E+12,1543,4,604,1.68E+12,1.68E+12,355,2,376,1.68E+12,1.68E+12,156,2,228,114,151,55.29918625,231,145,188,60.81118318,231,114,114,0,114,156,514.3333333,459.2214426,1032,355,355,0,355,156,156,0,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0, 0, 1]","[231, 145, 114]","[0, 355, 1032]",0,0,benign
0,62512,7777,17,4,0,0,1.68E+12,1.68E+12,320,6,3456,1.68E+12,1.68E+12,320,6,3456,0,0,0,0,0,576,576,0,576,576,576,0,576,0,0,0,0,6,64,114.4224628,268,6,64,114.4224628,268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0, 0, 0]","[576, 576, 576]","[0, 29, 7]",0,0,benign
1,6525,8889,17,4,0,0,1.68E+12,1.68E+12,4636,5,596,1.68E+12,1.68E+12,449,3,342,1.68E+12,1.68E+12,928,2,254,114,119.2,7.120393248,127,114,114,0,114,127,127,0,127,62,1159,1444.847627,3259,62,224.5,229.8097039,387,928,928,0,928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0, 0, 0]","[114, 114, 114]","[0, 387, 62]",0,0,benign
1,62512,7777,17,4,0,0,1.68E+12,1.68E+12,4477,32,29694,1.68E+12,1.68E+12,4477,32,29694,0,0,0,0,0,424,927.9375,815.8672385,3488,424,927.9375,815.8672385,3488,0,0,0,0,0,144.4193548,271.9920065,1325,0,144.4193548,271.9920065,1325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0, 0, 0]","[576, 576, 576]","[0, 2, 592]",0,0,benign
1,8889,6525,17,4,0,0,1.68E+12,1.68E+12,4923,5,1084,1.68E+12,1.68E+12,4923,5,1084,0,0,0,0,0,127,216.8,200.7989044,576,127,216.8,200.7989044,576,0,0,0,0,49,1230.75,2316.271195,4705,49,1230.75,2316.271195,4705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0, 0, 0]","[127, 127, 127]","[0, 4705, 102]",0,0,benign
1,62512,7777,17,4,0,0,1.68E+12,1.68E+12,4762,32,41050,1.68E+12,1.68E+12,4762,32,41050,0,0,0,0,0,442,1282.8125,1070.458311,3704,442,1282.8125,1070.458311,3704,0,0,0,0,1,153.6129032,442.7733564,2026,1,153.6129032,442.7733564,2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0, 0, 0]","[576, 576, 2336]","[0, 94, 1437]",0,0,benign
1,8889,6525,17,4,0,0,1.68E+12,1.68E+12,4914,13,4274,1.68E+12,1.68E+12,4914,13,4274,0,0,0,0,0,127,328.7692308,250.263579,808,127,328.7692308,250.263579,808,0,0,0,0,0,409.5,965.6769176,3447,0,409.5,965.6769176,3447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0, 0, 0]","[127, 576, 127]","[0, 103, 2]",0,0,benign
1,62512,7777,17,4,0,0,1.68E+12,1.68E+12,3349,20,19381,1.68E+12,1.68E+12,3349,20,19381,0,0,0,0,0,428,969.05,985.4202136,3398,428,969.05,985.4202136,3398,0,0,0,0,4,176.2631579,523.190091,2311,4,176.2631579,523.190091,2311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0, 0, 0]","[576, 576, 576]","[0, 36, 30]",0,0,benign
0,6525,8889,17,4,0,0,1.68E+12,1.68E+12,60,3,628,1.68E+12,1.68E+12,60,3,628,0,0,0,0,0,114,209.3333333,165.122177,400,114,209.3333333,165.122177,400,0,0,0,0,19,30,15.55634919,41,19,30,15.55634919,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0, 0, 0]","[400, 114, 114]","[0, 41, 19]",0,0,benign
1,62512,7777,17,4,0,0,1.68E+12,1.68E+12,4993,132,71932,1.68E+12,1.68E+12,4993,132,71932,0,0,0,0,0,102,544.9393939,109.8492901,576,102,544.9393939,109.8492901,576,0,0,0,0,0,38.11450382,85.51721745,935,0,38.11450382,85.51721745,935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0, 0, 0]","[576, 576, 576]","[0, 4, 13]",0,0,benign
